attempt_id,change_type,success,dom_ops,diff_ms,retries,regen_s
1,attribute_rename,1,3,1.6,1,4.35
2,id_to_data_testid,1,4,2.49,1,3.42
3,class_rename,1,3,2.09,1,4.95
4,text_modification,1,2,2.59,1,6.6
5,placeholder_change,1,3,1.61,1,4.24
6,aria_label_change,1,4,1.04,1,3.06
7,element_relocation,1,6,1.9,1,1.72
8,hierarchy_restructure,0,11,1.47,2,1.58
9,element_reordering,0,9,1.03,2,6.69
10,dynamic_visibility,0,8,1.54,2,8.18
11,nested_container_move,1,7,1.49,1,4.4
12,combined_selector_change,1,10,4.42,2,6.23
